Threads,Tasks,Total Iterations,Mean Time,Median Time,Timing 1,Timing 2,Timing 3,Timing 4,Timing 5,Timing 6,Timing 7,Timing 8,Timing 9,Timing 10,Timing 11,Timing 12,Timing 13,Timing 14,Timing 15,Timing 16,Timing 17,Timing 18,Timing 19,Timing 20,Timing 21,Timing 22,Timing 23,Timing 24,Timing 25,Timing 26,Timing 27,Timing 28,Timing 29,Timing 30,Timing 31,Timing 32,Timing 33,Timing 34,Timing 35,Timing 36,Timing 37,Timing 38,Timing 39,Timing 40,Timing 41,Timing 42,Timing 43,Timing 44,Timing 45,Timing 46,Timing 47,Timing 48,Timing 49,Timing 50,Timing 51,Timing 52,Timing 53,Timing 54,Timing 55,Timing 56,Timing 57,Timing 58,Timing 59,Timing 60,Timing 61,Timing 62,Timing 63,Timing 64,Timing 65,Timing 66,Timing 67,Timing 68,Timing 69,Timing 70,Timing 71,Timing 72,Timing 73,Timing 74,Timing 75,Timing 76,Timing 77,Timing 78,Timing 79,Timing 80,Timing 81,Timing 82,Timing 83,Timing 84,Timing 85,Timing 86,Timing 87,Timing 88,Timing 89,Timing 90,Timing 91,Timing 92,Timing 93,Timing 94,Timing 95,Timing 96,Timing 97,Timing 98,Timing 99,Timing 100
1,1,1000000000,2.535555856227875,2.5298423767089844,2.543804407119751,2.5318241119384766,2.5345726013183594,2.5238208770751953,2.5169517993927,2.5158867835998535,2.5278468132019043,2.526048421859741,2.5269198417663574,2.5383858680725098,2.544340133666992,2.5156707763671875,2.521857500076294,2.5281589031219482,2.5196588039398193,2.518965721130371,2.5189242362976074,2.535041093826294,2.5208141803741455,2.5519325733184814,2.537522315979004,2.5448522567749023,2.5322561264038086,2.5585687160491943,2.536910057067871,2.570802688598633,2.625715732574463,2.6009130477905273,2.5192644596099854,2.5178463459014893,2.5298423767089844,2.5385091304779053,2.5196776390075684,2.5272083282470703,2.5182456970214844,2.554089307785034,2.5685296058654785,2.5912153720855713,2.518665313720703,2.5213863849639893,2.5664854049682617,2.5316195487976074,2.516268253326416,2.5182456970214844,2.5530898571014404,2.515773057937622,2.5520339012145996,2.535423994064331,2.5441839694976807,2.521242380142212,2.520643949508667,2.5841448307037354,2.5702455043792725,2.5692713260650635,2.5320961475372314,2.547778606414795,2.529550552368164,2.5303847789764404,2.5480403900146484,2.53912615776062,2.5186474323272705,2.516282320022583,2.5198724269866943,2.579223394393921,2.5267701148986816,2.520805597305298,2.5317957401275635,2.5253350734710693,2.5271124839782715,2.5503852367401123,2.5487637519836426,2.5349371433258057,2.5198018550872803,2.5592150688171387,2.5150527954101562,2.571446180343628,2.5307397842407227,2.5360665321350098,2.5679681301116943,2.527982711791992,2.5181679725646973,2.523115634918213,2.519361972808838,2.5198378562927246,2.5212337970733643,2.5139377117156982,2.5236599445343018,2.527444839477539,2.5156497955322266,2.5293214321136475,2.5219922065734863,2.5308351516723633,2.5329654216766357,2.521744966506958,2.532860279083252,2.539004325866699,2.522508144378662,2.5322930812835693,2.518498659133911,2.543853998184204
2,2,1000000000,1.2833320355415345,1.2829256057739258,1.296983242034912,1.329056978225708,1.2687180042266846,1.2871315479278564,1.296696662902832,1.2795331478118896,1.2964451313018799,1.268622875213623,1.2637419700622559,1.2853941917419434,1.2910890579223633,1.3004798889160156,1.280472755432129,1.2676515579223633,1.2820875644683838,1.274364709854126,1.2859268188476562,1.2868914604187012,1.2939376831054688,1.2829053401947021,1.28615140914917,1.2752008438110352,1.2900495529174805,1.2678837776184082,1.2896788120269775,1.2759878635406494,1.274672508239746,1.2793025970458984,1.270690679550171,1.286170482635498,1.278726577758789,1.2879767417907715,1.2897796630859375,1.2912425994873047,1.2780883312225342,1.2661511898040771,1.2717626094818115,1.2954051494598389,1.2676193714141846,1.2869091033935547,1.269841194152832,1.2870728969573975,1.2672288417816162,1.2751038074493408,1.275296926498413,1.2748823165893555,1.2829256057739258,1.2778167724609375,1.276390790939331,1.2897429466247559,1.2832298278808594,1.2820806503295898,1.2957940101623535,1.2782373428344727,1.2785992622375488,1.2807061672210693,1.282233715057373,1.2859015464782715,1.2879383563995361,1.2862493991851807,1.2894537448883057,1.285747766494751,1.2970144748687744,1.2995212078094482,1.283395767211914,1.293133020401001,1.2824642658233643,1.2757866382598877,1.2904767990112305,1.2833998203277588,1.3100099563598633,1.279148817062378,1.291088581085205,1.298064947128296,1.2863924503326416,1.2743752002716064,1.2907586097717285,1.281956434249878,1.2891819477081299,1.2847771644592285,1.2798717021942139,1.2760415077209473,1.277517557144165,1.2779626846313477,1.2762889862060547,1.285865306854248,1.2967338562011719,1.287022590637207,1.2733845710754395,1.2822425365447998,1.2814891338348389,1.2752492427825928,1.2728407382965088,1.2832794189453125,1.2769641876220703,1.2872166633605957,1.2844047546386719,1.297933578491211,1.2756869792938232,1.2742071151733398
3,4,1000000000,0.8697426080703735,0.8672308921813965,0.8703773021697998,0.867412805557251,0.8557529449462891,0.863802433013916,0.8614680767059326,0.8748691082000732,0.8601977825164795,0.8845906257629395,0.8785769939422607,0.8637790679931641,0.8682126998901367,0.8579998016357422,0.8663156032562256,0.8616979122161865,0.8669261932373047,0.8575310707092285,0.8683125972747803,0.8936152458190918,0.8580260276794434,0.8767142295837402,0.8578224182128906,0.8647475242614746,0.8677463531494141,0.8647654056549072,0.869800329208374,0.8612511157989502,0.8595759868621826,0.8663792610168457,0.8605890274047852,0.8559823036193848,0.8702399730682373,0.8792061805725098,0.8575198650360107,0.883929967880249,0.8550980091094971,0.869844913482666,0.8679351806640625,0.8639035224914551,0.8607406616210938,0.8720076084136963,0.8618583679199219,0.8616833686828613,0.8709201812744141,0.880180835723877,0.8637614250183105,0.8684771060943604,0.863253116607666,0.8693358898162842,0.8792128562927246,0.8673391342163086,0.8647048473358154,0.8862459659576416,0.8539547920227051,0.8758580684661865,0.8570156097412109,0.8667235374450684,0.8874733448028564,0.8629934787750244,0.8766145706176758,0.8608219623565674,0.8738224506378174,0.8577446937561035,0.8615231513977051,0.8708486557006836,0.8590657711029053,0.8654990196228027,0.8579707145690918,0.8673379421234131,0.8637344837188721,0.8800899982452393,0.8626551628112793,0.8670306205749512,0.8820827007293701,0.8632915019989014,0.8721284866333008,0.8695244789123535,0.8600265979766846,0.8660938739776611,0.8629097938537598,0.8718245029449463,0.8697986602783203,0.8859045505523682,0.8967289924621582,0.8973045349121094,0.8963861465454102,0.9100737571716309,0.895505428314209,0.8605890274047852,0.917231559753418,0.8583903312683105,0.8672308921813965,0.8710911273956299,0.8816616535186768,0.8704631328582764,0.8657467365264893,0.8678269386291504,0.8650803565979004,0.8669371604919434,0.8719980716705322,0.8794145584106445
4,4,1000000000,0.6678372693061828,0.6681158542633057,0.6757004261016846,0.6821787357330322,0.665635347366333,0.6762669086456299,0.6560940742492676,0.6673693656921387,0.6666326522827148,0.6617040634155273,0.6662561893463135,0.6784322261810303,0.6701478958129883,0.6606688499450684,0.6588587760925293,0.6613109111785889,0.6654775142669678,0.674422025680542,0.6702983379364014,0.6563034057617188,0.6701071262359619,0.6606173515319824,0.6655652523040771,0.6682894229888916,0.677577018737793,0.6584377288818359,0.6727747917175293,0.6716146469116211,0.6774570941925049,0.6716110706329346,0.6792349815368652,0.6694397926330566,0.6715540885925293,0.6709439754486084,0.6646673679351807,0.6614749431610107,0.6665105819702148,0.6708073616027832,0.6537570953369141,0.6635098457336426,0.6706233024597168,0.6624958515167236,0.6683125495910645,0.6642179489135742,0.6595838069915771,0.6623492240905762,0.6716997623443604,0.6697914600372314,0.6568989753723145,0.6827807426452637,0.6699750423431396,0.6834976673126221,0.6626520156860352,0.6664888858795166,0.6677300930023193,0.6677823066711426,0.6687300205230713,0.6694357395172119,0.6681158542633057,0.6624157428741455,0.6604561805725098,0.6653199195861816,0.6709315776824951,0.6609146595001221,0.6652331352233887,0.6680278778076172,0.6518876552581787,0.670499324798584,0.6752455234527588,0.6644003391265869,0.6717827320098877,0.6652929782867432,0.6619982719421387,0.6767115592956543,0.6763625144958496,0.6687827110290527,0.6782002449035645,0.6744384765625,0.6694529056549072,0.659625768661499,0.6666288375854492,0.6761183738708496,0.670222282409668,0.6666135787963867,0.661201000213623,0.6714804172515869,0.6687173843383789,0.6649327278137207,0.6737923622131348,0.6737396717071533,0.669858455657959,0.6734747886657715,0.6660261154174805,0.667896032333374,0.668708086013794,0.6694293022155762,0.6614134311676025,0.6628880500793457,0.6616930961608887,0.6623611450195312,0.6638855934143066,0.6717956066131592
5,5,1000000000,0.5393193459510803,0.5392374992370605,0.5391693115234375,0.5583586692810059,0.5466582775115967,0.5392646789550781,0.5388011932373047,0.5400385856628418,0.541043758392334,0.5341019630432129,0.5363142490386963,0.5409402847290039,0.5463640689849854,0.5420942306518555,0.5415768623352051,0.5369551181793213,0.5364699363708496,0.5345668792724609,0.5458095073699951,0.5307009220123291,0.5411844253540039,0.5431966781616211,0.5354058742523193,0.5377998352050781,0.5381729602813721,0.5350327491760254,0.5403351783752441,0.5437746047973633,0.5359437465667725,0.5358481407165527,0.5392374992370605,0.5304386615753174,0.5384347438812256,0.5349750518798828,0.5369362831115723,0.5377213954925537,0.5550041198730469,0.5337352752685547,0.542569637298584,0.5361378192901611,0.5335133075714111,0.5395247936248779,0.537696361541748,0.5439720153808594,0.5414755344390869,0.534661054611206,0.5432894229888916,0.5354700088500977,0.5395665168762207,0.5422787666320801,0.5386199951171875,0.546677827835083,0.5315814018249512,0.5462815761566162,0.5393452644348145,0.5353806018829346,0.5348689556121826,0.5334551334381104,0.5331814289093018,0.536536455154419,0.5371725559234619,0.5449469089508057,0.5432000160217285,0.5394108295440674,0.5472927093505859,0.5309252738952637,0.5332119464874268,0.540001630783081,0.5370869636535645,0.534278154373169,0.5359480381011963,0.538522481918335,0.5424623489379883,0.539395809173584,0.5465829372406006,0.542236328125,0.5374507904052734,0.5431606769561768,0.5372824668884277,0.5442836284637451,0.5466065406799316,0.5312583446502686,0.5418660640716553,0.5348050594329834,0.5321171283721924,0.5395298004150391,0.536776065826416,0.5411899089813232,0.5392827987670898,0.5367083549499512,0.5398507118225098,0.5492887496948242,0.5406713485717773,0.5408115386962891,0.5358242988586426,0.5342142581939697,0.537442684173584,0.5385839939117432,0.5438492298126221,0.5417466163635254,0.5466098785400391,0.5395591259002686
6,7,1000000000,0.45303361654281615,0.4519519805908203,0.44948506355285645,0.4824187755584717,0.46165919303894043,0.4519491195678711,0.44936394691467285,0.4490673542022705,0.44953036308288574,0.4583132266998291,0.46663737297058105,0.45378613471984863,0.4685640335083008,0.4591231346130371,0.45169901847839355,0.45167970657348633,0.4509270191192627,0.4527578353881836,0.45902252197265625,0.4530832767486572,0.4497380256652832,0.44618964195251465,0.45105910301208496,0.45247888565063477,0.45239806175231934,0.44257426261901855,0.45463013648986816,0.4525024890899658,0.4534180164337158,0.45020151138305664,0.44962382316589355,0.4510331153869629,0.4429287910461426,0.4559791088104248,0.45024657249450684,0.4535179138183594,0.45093727111816406,0.449676513671875,0.4493277072906494,0.4537515640258789,0.45218324661254883,0.44993138313293457,0.45032715797424316,0.45670294761657715,0.4497988224029541,0.4538002014160156,0.45867204666137695,0.4562528133392334,0.4568979740142822,0.4519519805908203,0.45226550102233887,0.44885706901550293,0.45014333724975586,0.4533364772796631,0.4581320285797119,0.4492952823638916,0.44899654388427734,0.4602689743041992,0.4512960910797119,0.449204683303833,0.45021629333496094,0.4477272033691406,0.47077178955078125,0.4458284378051758,0.4533205032348633,0.460191011428833,0.457444429397583,0.4519970417022705,0.449664831161499,0.4503967761993408,0.4496011734008789,0.45737409591674805,0.4532039165496826,0.4541645050048828,0.4536004066467285,0.451326847076416,0.45609092712402344,0.44666361808776855,0.4551236629486084,0.45852088928222656,0.45252442359924316,0.4520862102508545,0.4492614269256592,0.4591970443725586,0.4497342109680176,0.44962120056152344,0.45062804222106934,0.44998645782470703,0.45670318603515625,0.4509086608886719,0.45289063453674316,0.4497506618499756,0.45262694358825684,0.446882963180542,0.4493978023529053,0.45590853691101074,0.44984889030456543,0.452167272567749,0.45191168785095215,0.45586085319519043,0.45152878761291504,0.451113224029541
7,8,1000000000,0.3916649460792542,0.39172887802124023,0.39525485038757324,0.39270830154418945,0.39214205741882324,0.39421963691711426,0.3896167278289795,0.3886582851409912,0.38923168182373047,0.3908255100250244,0.393233060836792,0.3944070339202881,0.38910555839538574,0.39617347717285156,0.3878519535064697,0.3887443542480469,0.3921067714691162,0.39523744583129883,0.39158010482788086,0.38767528533935547,0.3872334957122803,0.39337897300720215,0.386660099029541,0.39206767082214355,0.3877882957458496,0.3875620365142822,0.3909645080566406,0.39856457710266113,0.3931009769439697,0.3971884250640869,0.3917403221130371,0.38871216773986816,0.3903369903564453,0.394895076751709,0.3938164710998535,0.39311790466308594,0.389279842376709,0.39588260650634766,0.38738393783569336,0.39217376708984375,0.38945651054382324,0.38828206062316895,0.3873751163482666,0.3899357318878174,0.3886284828186035,0.3905637264251709,0.39075613021850586,0.39302587509155273,0.3927030563354492,0.39392828941345215,0.39172887802124023,0.39023447036743164,0.38715147972106934,0.3935842514038086,0.39527034759521484,0.39438462257385254,0.3944835662841797,0.38907742500305176,0.38820552825927734,0.39217114448547363,0.3931856155395508,0.39163994789123535,0.3907628059387207,0.3938102722167969,0.3940470218658447,0.39101076126098633,0.39044642448425293,0.39374256134033203,0.3940751552581787,0.39179468154907227,0.3929107189178467,0.3888082504272461,0.3973731994628906,0.38564634323120117,0.389254093170166,0.39183974266052246,0.39403700828552246,0.39205408096313477,0.3907148838043213,0.3912179470062256,0.3956327438354492,0.39090585708618164,0.3925292491912842,0.3900279998779297,0.39189910888671875,0.3904426097869873,0.39011693000793457,0.3906676769256592,0.3951258659362793,0.3913533687591553,0.3965303897857666,0.3935556411743164,0.39293384552001953,0.38994908332824707,0.3903076648712158,0.3905489444732666,0.3896312713623047,0.3909308910369873,0.39592528343200684,0.39469385147094727,0.3937795162200928,0.3890683650970459
8,8,1000000000,0.34647135019302366,0.3460869789123535,0.3456900119781494,0.3449971675872803,0.3516509532928467,0.34991455078125,0.3402590751647949,0.34526777267456055,0.34679460525512695,0.3440113067626953,0.3442561626434326,0.3434922695159912,0.341463565826416,0.3460869789123535,0.34417057037353516,0.34395384788513184,0.34568071365356445,0.34096646308898926,0.34831905364990234,0.3438851833343506,0.34381961822509766,0.3457062244415283,0.34478116035461426,0.3472764492034912,0.3498876094818115,0.34439635276794434,0.35201144218444824,0.3452582359313965,0.34427809715270996,0.34763669967651367,0.3450322151184082,0.35605859756469727,0.34548258781433105,0.345522403717041,0.346066951751709,0.34694528579711914,0.34619736671447754,0.34783172607421875,0.3430781364440918,0.3473939895629883,0.347278356552124,0.3450334072113037,0.34331226348876953,0.347991943359375,0.34716153144836426,0.3496127128601074,0.3436143398284912,0.346860408782959,0.34557080268859863,0.3454575538635254,0.3465292453765869,0.34781432151794434,0.3447914123535156,0.34462809562683105,0.34862470626831055,0.34565258026123047,0.3446619510650635,0.34665822982788086,0.34949827194213867,0.3463449478149414,0.35036420822143555,0.345491886138916,0.3493161201477051,0.34718942642211914,0.3495821952819824,0.34508705139160156,0.3479492664337158,0.3444662094116211,0.3477342128753662,0.34375786781311035,0.35137248039245605,0.34896397590637207,0.3441953659057617,0.34396839141845703,0.3468356132507324,0.34813904762268066,0.3427450656890869,0.34637451171875,0.34468579292297363,0.34647297859191895,0.3459153175354004,0.3486897945404053,0.345977783203125,0.3457512855529785,0.3475799560546875,0.3537020683288574,0.34729743003845215,0.34612584114074707,0.3459932804107666,0.34649109840393066,0.34941697120666504,0.34549641609191895,0.34543490409851074,0.34729909896850586,0.3479804992675781,0.3466041088104248,0.345304012298584,0.3458998203277588,0.3480656147003174,0.3453199863433838,0.34738993644714355,0.35208964347839355
9,10,1000000000,0.3118054127693176,0.31160593032836914,0.31044483184814453,0.3128485679626465,0.3140902519226074,0.31255102157592773,0.3114597797393799,0.3107626438140869,0.31266093254089355,0.3111135959625244,0.314359188079834,0.30985307693481445,0.31023240089416504,0.31064677238464355,0.3118896484375,0.3101468086242676,0.312056303024292,0.31092214584350586,0.31070828437805176,0.3112623691558838,0.3130664825439453,0.3137335777282715,0.3105192184448242,0.31356239318847656,0.3129401206970215,0.3106215000152588,0.31446313858032227,0.3138110637664795,0.3122093677520752,0.31235623359680176,0.30949974060058594,0.3145289421081543,0.31226325035095215,0.3145272731781006,0.31273365020751953,0.312485933303833,0.3124663829803467,0.3101227283477783,0.3266479969024658,0.3073403835296631,0.3130009174346924,0.3092048168182373,0.30826902389526367,0.31049537658691406,0.31160593032836914,0.3130335807800293,0.30911707878112793,0.31204867362976074,0.31302404403686523,0.31137776374816895,0.31276941299438477,0.31104302406311035,0.31235718727111816,0.30968356132507324,0.31223082542419434,0.3128476142883301,0.310955286026001,0.3117239475250244,0.30834197998046875,0.30945873260498047,0.31255412101745605,0.31276392936706543,0.3107743263244629,0.3113694190979004,0.311046838760376,0.30982303619384766,0.3103139400482178,0.3114356994628906,0.3134763240814209,0.3105792999267578,0.3092310428619385,0.31374263763427734,0.31023359298706055,0.3135545253753662,0.31233644485473633,0.31528472900390625,0.3091704845428467,0.31250476837158203,0.3104400634765625,0.3110928535461426,0.3130643367767334,0.3111143112182617,0.3107900619506836,0.31380605697631836,0.3135859966278076,0.3136556148529053,0.3101804256439209,0.30968165397644043,0.3099250793457031,0.3132905960083008,0.308992862701416,0.31139183044433594,0.3116037845611572,0.3144228458404541,0.3163926601409912,0.3124358654022217,0.3101506233215332,0.30988597869873047,0.30974388122558594,0.311708927154541,0.31163668632507324,0.31085634231567383
10,10,1000000000,0.28318437814712527,0.28289055824279785,0.28290820121765137,0.28326916694641113,0.2855403423309326,0.285581111907959,0.2859055995941162,0.284024715423584,0.2818324565887451,0.28147172927856445,0.2810800075531006,0.282153844833374,0.28103017807006836,0.2823188304901123,0.28162097930908203,0.2801930904388428,0.2838008403778076,0.2823829650878906,0.28162431716918945,0.28246021270751953,0.2814154624938965,0.2822227478027344,0.2836723327636719,0.28381776809692383,0.28403210639953613,0.28265976905822754,0.28299665451049805,0.28365254402160645,0.28388452529907227,0.2822885513305664,0.28183984756469727,0.28169965744018555,0.28247904777526855,0.28255629539489746,0.28399085998535156,0.2846653461456299,0.2804296016693115,0.2824530601501465,0.2803525924682617,0.2816143035888672,0.28235459327697754,0.2841620445251465,0.28864455223083496,0.28281188011169434,0.28220033645629883,0.28304409980773926,0.2839646339416504,0.28137683868408203,0.28249335289001465,0.28289055824279785,0.2830798625946045,0.28539371490478516,0.28317785263061523,0.28460121154785156,0.30923914909362793,0.28357791900634766,0.2827932834625244,0.2810184955596924,0.2820408344268799,0.2815566062927246,0.28336429595947266,0.2831261157989502,0.28292179107666016,0.2831149101257324,0.2825312614440918,0.28084611892700195,0.284071683883667,0.2810404300689697,0.2843019962310791,0.28432464599609375,0.2820713520050049,0.2819056510925293,0.2825779914855957,0.2840259075164795,0.28029465675354004,0.2832605838775635,0.2817680835723877,0.28099751472473145,0.2820923328399658,0.2837941646575928,0.28308916091918945,0.28386735916137695,0.2831847667694092,0.2843654155731201,0.28398799896240234,0.2843616008758545,0.2837541103363037,0.2840733528137207,0.2838022708892822,0.2858297824859619,0.28226375579833984,0.28340649604797363,0.2817404270172119,0.27906298637390137,0.2824728488922119,0.28292346000671387,0.2815675735473633,0.2812471389770508,0.28270602226257324,0.2832608222961426,0.2824885845184326,0.2902069091796875
